rho_dgp,rho_est,reps,mse_our_mean,mse_oracle_mean,gap_mean,mse_our_sd,mse_oracle_sd,gap_sd
0,0,20,2.2456328418636082,2.0981172181110175,0.1475156237525909,0.3805871028427424,0.30806186661868223,0.17308715303600267
0.2,0,20,2.2976752978584214,2.034236793977716,0.2634385038807054,0.23613686230218012,0.23694159760624073,0.16537957181801347
0.4,0,20,2.253154837926592,1.7424279375634684,0.5107269003631237,0.27682436066822885,0.17007583001389598,0.195165904508199
0.6000000000000001,0,20,2.268177000146361,1.3786302372716501,0.8895467628747108,0.3376384212740764,0.1897934166889762,0.28440719941006176
0.8,0,20,2.2800343327099775,0.7959052898354604,1.484129042874517,0.35939456807172887,0.07645578216101094,0.3354432225620624
1,0,20,2.108416749261082,0,2.108416749261082,0.2648942698008498,0,0.2648942698008498
0,0.2,20,2.3898487628757104,2.163300076473084,0.22654868640262657,0.3192157431513707,0.26970998522684825,0.12359249564853482
0.2,0.2,20,2.126160571606287,1.9747417081277152,0.15141886347857184,0.2521592406436412,0.2705923925598247,0.08995759922754248
0.4,0.2,20,2.1707042277445963,1.871569194276458,0.2991350334681383,0.2827670802587098,0.25585335576576385,0.17300041784704542
0.6000000000000001,0.2,20,1.8814325124830085,1.3413172793055976,0.5401152331774106,0.2873196603826754,0.21465659420382596,0.14319542814344544
0.8,0.2,20,1.6934904459873756,0.7718243452521778,0.9216661007351977,0.26323804262312217,0.11403260559231763,0.18301218672103367
1,0.2,20,1.606689420635394,0,1.606689420635394,0.25715881786606304,0,0.25715881786606304
0,0.4,20,2.501806301034586,2.0281191468283053,0.4736871542062806,0.35235189442335196,0.3023752287600967,0.21904483516259737
0.2,0.4,20,2.371400318707072,2.0782946536208917,0.29310566508617997,0.3301302477690633,0.295816607993155,0.1540814759231627
0.4,0.4,20,1.9692510776763863,1.757660844692828,0.21159023298355822,0.3188300527129712,0.3051066541683693,0.1501896375448058
0.6000000000000001,0.4,20,1.594872480486062,1.3272082838640735,0.2676641966219883,0.21082506730762102,0.15955495529276997,0.14999300621237166
0.8,0.4,20,1.3281699603015475,0.7418695080617219,0.5863004522398256,0.17084112681726907,0.08943870351851363,0.15366565984889588
1,0.4,20,1.0434888541086045,0,1.0434888541086045,0.23667889123545524,0,0.23667889123545524
0,0.6000000000000001,20,3.170920462907847,2.158492787639144,1.012427675268703,0.4387723924180998,0.3365398134635127,0.2573997305932594
0.2,0.6000000000000001,20,2.7734444486980707,2.09434534772089,0.6790991009771805,0.5055754145888814,0.32143985922536744,0.2937031319875566
0.4,0.6000000000000001,20,2.0809634606986287,1.8049393477553632,0.27602411294326534,0.2677693326278832,0.22418341055392463,0.1387775213635923
0.6000000000000001,0.6000000000000001,20,1.7629281655958902,1.4443889030134596,0.3185392625824305,0.26332385044002865,0.18826207632129932,0.21546479445853753
0.8,0.6000000000000001,20,1.1356802049231585,0.7728665950022753,0.36281360992088313,0.1925463241265425,0.09975266642206933,0.14901611689376243
1,0.6000000000000001,20,0.717808496268895,0,0.717808496268895,0.2824937311323218,0,0.2824937311323218
0,0.8,20,3.5116552918278567,2.0322400691486657,1.479415222679191,0.42258377242835926,0.23405042972622553,0.4551362259733747
0.2,0.8,20,3.0623749112959513,2.043980188215628,1.0183947230803236,0.4601195933398698,0.2243427530823902,0.35106283777566305
0.4,0.8,20,2.4332839884146846,1.8144875266549259,0.618796461759759,0.5336769316290098,0.30812641076580766,0.38577847676844096
0.6000000000000001,0.8,20,1.8015626475223308,1.4098711870242315,0.3916914604980992,0.3404064958431381,0.1879039136932284,0.21448775025563532
0.8,0.8,20,1.1212025879769814,0.7536080251393558,0.36759456283762554,0.26020234267900627,0.09093297363851571,0.27608091946347485
1,0.8,20,0.5218915473947596,0,0.5218915473947596,0.24510742557538384,0,0.24510742557538384
0,1,20,4.534363236289543,2.2194064604447656,2.3149567758447773,0.7296813122645329,0.3833315048101752,0.5640446948325509
0.2,1,20,3.673007419860188,2.0078649404042666,1.6651424794559213,0.5153639566749875,0.2429197957718455,0.49915731222502774
0.4,1,20,2.7894882959091984,1.7968824218950292,0.9926058740141691,0.4105894149175537,0.18355004304493433,0.3524085942965529
0.6000000000000001,1,20,1.9957197529344837,1.342593682186119,0.6531260707483646,0.3480336800533546,0.16054826468826375,0.31707685964114696
0.8,1,20,1.2116439114904192,0.7660649331853886,0.44557897830503046,0.26052984876416113,0.10033833868333164,0.30450527688009943
1,1,20,0.41683574020808783,0,0.41683574020808783,0.25930869852456806,0,0.25930869852456806
