rho_dgp,rho_est,reps,mse_our_mean,mse_oracle_mean,gap_mean,mse_our_sd,mse_oracle_sd,gap_sd
0,0,20,2.1323206814076006,2.117234585787411,0.015086095620189833,0.06594202295612495,0.06917609414648648,0.014332792753423012
0.2,0,20,2.110824205907675,2.010949710424809,0.09987449548286595,0.10048914581745548,0.09733080618318402,0.02373407634862496
0.4,0,20,2.1400636158764987,1.7817415581563871,0.3583220577201119,0.0801997494857971,0.06420328174342922,0.04596348443632882
0.6000000000000001,0,20,2.161949563842872,1.3877211015461428,0.7742284622967293,0.08578224562113282,0.04076685642610246,0.0630253865742643
0.8,0,20,2.1494069008507566,0.7621760781543901,1.387230822696366,0.08059719955924663,0.024520263592970135,0.0712277390274606
1,0,20,2.1465020484285446,0,2.1465020484285446,0.09076712672756376,0,0.09076712672756376
0,0.2,20,2.2102394342962413,2.1153840285745833,0.09485540572165777,0.1012803302104883,0.09547632752014222,0.03071844144368873
0.2,0.2,20,2.0737066256377403,2.057580308156828,0.016126317480912433,0.09001608912085152,0.0903878050945931,0.013343305281197216
0.4,0.2,20,1.9185129836830257,1.816769999811735,0.10174298387129078,0.06902095747222199,0.07053954589165996,0.01739205477124258
0.6000000000000001,0.2,20,1.736834826149266,1.3626398050122233,0.37419502113704284,0.08979307973863099,0.06610720667141842,0.04768680335943108
0.8,0.2,20,1.5398015384327435,0.7765151471483941,0.7632863912843493,0.061604325040084694,0.030014606948383447,0.04948708846919677
1,0.2,20,1.3937551048217411,0,1.3937551048217411,0.06641724940801064,0,0.06641724940801064
0,0.4,20,2.4678138073739317,2.0954740385446957,0.37233976882923625,0.09703778236959658,0.07195026838805471,0.06031312754239106
0.2,0.4,20,2.1347793647243054,2.0284578097488106,0.10632155497549436,0.07826798669157702,0.07862950218502232,0.02420298123657345
0.4,0.4,20,1.8004886327589582,1.7775728781222822,0.02291575463667602,0.07252517731843446,0.06517532885592381,0.016829284805914006
0.6000000000000001,0.4,20,1.4610822155816374,1.3505891192103185,0.11049309637131874,0.056150003425938406,0.05203714474593457,0.02462971915683895
0.8,0.4,20,1.1187343157419687,0.7671766653229337,0.35155765041903486,0.06174849731284417,0.03208147182564393,0.05119953912735484
1,0.4,20,0.7999982399520259,0,0.7999982399520259,0.03193041408391624,0,0.03193041408391624
0,0.6000000000000001,20,2.9130408992286463,2.118790315447082,0.7942505837815644,0.1475519146016656,0.09277093138857051,0.10526945182378672
0.2,0.6000000000000001,20,2.4306492881512005,2.0804386956074157,0.3502105925437851,0.09797812895434627,0.08838446746204284,0.05258024170337349
0.4,0.6000000000000001,20,1.8865594912244266,1.784275012621673,0.10228447860275339,0.08833437790018007,0.08658241661849245,0.023365019208370714
0.6000000000000001,0.6000000000000001,20,1.3813894336864128,1.3526685131558591,0.02872092053055362,0.052533446528380406,0.04925469523479728,0.013705368303134412
0.8,0.6000000000000001,20,0.8741985724561473,0.7670079981730347,0.10719057428311266,0.032205793619096,0.024874559566987302,0.023891923043872613
1,0.6000000000000001,20,0.37669824358723464,0,0.37669824358723464,0.036638762991141535,0,0.036638762991141535
0,0.8,20,3.5561209716853432,2.157813779831,1.3983071918543426,0.13451190742928226,0.08250258633293822,0.08909589470578973
0.2,0.8,20,2.828441897717563,2.0236912899365116,0.8047506077810516,0.11525666826562692,0.09627001011239429,0.07684603929844488
0.4,0.8,20,2.1687051667375066,1.8127670011791657,0.35593816555834074,0.08657704754765692,0.0735725804002491,0.05658803471901163
0.6000000000000001,0.8,20,1.4565150361565187,1.353974978321366,0.10254005783515276,0.06734704924836833,0.057306640461939846,0.02772660986208136
0.8,0.8,20,0.7998151670649145,0.7569426033221166,0.04287256374279794,0.03954277722025927,0.035391033901714004,0.01635720105352837
1,0.8,20,0.12608690699464,0,0.12608690699464,0.025299091284569055,0,0.025299091284569055
0,1,20,4.270666011087035,2.1276298530352817,2.1430361580517534,0.18608450422430703,0.11399092276969774,0.10798668979193315
0.2,1,20,3.3775032195651904,2.0264516240893453,1.351051595475845,0.17699415901610727,0.07714695578430578,0.15131631065434095
0.4,1,20,2.620258463206132,1.8018244589528691,0.8184340042532626,0.12664145554968456,0.06202261072011146,0.10734222066740955
0.6000000000000001,1,20,1.7423672276510112,1.3637462542649306,0.37862097338608064,0.08673443949083061,0.05641670546568799,0.0587652300563343
0.8,1,20,0.8968925407364897,0.766188088449259,0.1307044522872307,0.04283449305078339,0.030220334487769653,0.02772923023732781
1,1,20,0.0421722134236628,0,0.0421722134236628,0.01785640183357908,0,0.01785640183357908
