"n","marginal","copula_type","rho","d","mean_mse_our","mean_mse_oracle","sd_mse_our","sd_mse_oracle","gap","marg_copula"
100,"chisq","gaussian",0,1,16.5381036026498,14.4860825707498,4.12688246359284,3.72078698327312,2.05202103189994,"chisq_gaussian"
100,"chisq","gaussian",0.5,1,13.1923136015847,10.520611515449,3.54826990268644,2.96992503107393,2.67170208613569,"chisq_gaussian"
100,"chisq","gaussian",1,1,5.38029822266567,0,4.10202261040389,7.41493671754522,5.38029822266567,"chisq_gaussian"
100,"chisq","gumbel",0,1,15.2519406380793,13.640534558434,3.97477191119154,3.55932483726405,1.61140607964528,"chisq_gumbel"
100,"chisq","gumbel",0.5,1,12.8327328903595,9.69513283215964,4.41771791790848,2.09917126520353,3.13760005819983,"chisq_gumbel"
100,"chisq","gumbel",1,1,5.76118031409171,0,4.9159455326084,5.54578367571806,5.76118031409171,"chisq_gumbel"
100,"gaussian","gaussian",0,1,2.62795229011819,2.23924407779255,0.746438534319238,0.367571560344208,0.388708212325636,"gaussian_gaussian"
100,"gaussian","gaussian",0.5,1,2.25094490155175,1.75293223291626,0.439294253542524,0.296031414019787,0.498012668635494,"gaussian_gaussian"
100,"gaussian","gaussian",1,1,1.26433128494955,0,0.793595423040377,0,1.26433128494955,"gaussian_gaussian"
100,"gaussian","gumbel",0,1,2.62070907293474,2.28620157025309,0.545450091976278,0.375248507427783,0.334507502681644,"gaussian_gumbel"
100,"gaussian","gumbel",0.5,1,2.43514592088122,1.85424984364726,0.621456105423521,0.425643984468034,0.580896077233958,"gaussian_gumbel"
100,"gaussian","gumbel",1,1,0.782113876325335,0,0.643290216575264,0.234604376244358,0.782113876325335,"gaussian_gumbel"
100,"laplace","gaussian",0,1,5.85774201419722,4.98941679890221,1.60661191442346,1.13656076328376,0.868325215295019,"laplace_gaussian"
100,"laplace","gaussian",0.5,1,4.9369752478782,3.52234474824498,1.87032169473276,1.23535291979769,1.41463049963322,"laplace_gaussian"
100,"laplace","gaussian",1,1,2.45506093010737,0,2.62817470408586,1.14106225726124,2.45506093010737,"laplace_gaussian"
100,"laplace","gumbel",0,1,5.4147101843395,4.71018088810858,1.40125259875424,1.31996912348918,0.704529296230919,"laplace_gumbel"
100,"laplace","gumbel",0.5,1,4.63221137738499,3.52924369676236,1.1196472889881,0.916820497394279,1.10296768062263,"laplace_gumbel"
100,"laplace","gumbel",1,1,2.12189122787663,0,2.61422653104909,1.01522608552507,2.12189122787663,"laplace_gumbel"
100,"t","gaussian",0,1,6.77168817123292,5.74741879719998,2.14368453921088,2.0503683220976,1.02426937403294,"t_gaussian"
100,"t","gaussian",0.5,1,7.26609605444691,5.26143534102038,4.70263100846697,1.63538110766832,2.00466071342653,"t_gaussian"
100,"t","gaussian",1,1,4.08655295252838,0,4.66984353077202,0,4.08655295252838,"t_gaussian"
100,"t","gumbel",0,1,8.28335526546349,7.38802114948715,5.90385744336822,6.02805829956669,0.895334115976341,"t_gumbel"
100,"t","gumbel",0.5,1,6.75061478356177,4.50557082930231,3.14179931271951,1.94070865208167,2.24504395425946,"t_gumbel"
100,"t","gumbel",1,1,3.0541168297262,0,3.68497051530892,NA,3.0541168297262,"t_gumbel"
300,"chisq","gaussian",0,1,13.0646245343459,12.466006332131,2.10884753104156,2.10223182062835,0.598618202214857,"chisq_gaussian"
300,"chisq","gaussian",0.5,1,11.2401502207689,10.070156825074,1.9393143599966,1.80000633903723,1.16999339569488,"chisq_gaussian"
300,"chisq","gaussian",1,1,2.06858422753122,0,1.7798540584105,5.15277578688738,2.06858422753122,"chisq_gaussian"
300,"chisq","gumbel",0,1,13.4904139530551,12.9344772566947,2.20850654074449,2.08033587757803,0.555936696360368,"chisq_gumbel"
300,"chisq","gumbel",0.5,1,9.59259174203565,8.60450664059106,1.4425953449632,1.29944449859844,0.988085101444597,"chisq_gumbel"
300,"chisq","gumbel",1,1,2.28672821013861,0,1.78204502455377,NA,2.28672821013861,"chisq_gumbel"
300,"gaussian","gaussian",0,1,2.23474792312164,2.13459651131486,0.223622836207358,0.226831741497822,0.100151411806781,"gaussian_gaussian"
300,"gaussian","gaussian",0.5,1,1.72517996040076,1.57313910381066,0.19180315729009,0.160476727612994,0.1520408565901,"gaussian_gaussian"
300,"gaussian","gaussian",1,1,0.314328675131805,0,0.14150869414373,0,0.314328675131805,"gaussian_gaussian"
300,"gaussian","gumbel",0,1,2.20018823210166,2.10334088820656,0.250968006270909,0.239145162245356,0.0968473438951043,"gaussian_gumbel"
300,"gaussian","gumbel",0.5,1,1.73752464531874,1.56707535879475,0.171855896164043,0.171091542324707,0.170449286523996,"gaussian_gumbel"
300,"gaussian","gumbel",1,1,0.265126464422191,0,0.139007823727177,NA,0.265126464422191,"gaussian_gumbel"
300,"laplace","gaussian",0,1,4.37336172785568,4.18954483048986,0.705497750042211,0.674458622617919,0.183816897365823,"laplace_gaussian"
300,"laplace","gaussian",0.5,1,3.63546152908194,3.30770859810031,0.59587915294078,0.530467449565114,0.327752930981624,"laplace_gaussian"
300,"laplace","gaussian",1,1,0.607044406341829,0,0.371557673098611,0.626582016519267,0.607044406341829,"laplace_gaussian"
300,"laplace","gumbel",0,1,4.57746165403317,4.39435432995869,0.807080280675024,0.765993419338223,0.183107324074482,"laplace_gumbel"
300,"laplace","gumbel",0.5,1,3.55150625648816,3.1246830292774,0.559510955309628,0.458231223824869,0.426823227210767,"laplace_gumbel"
300,"laplace","gumbel",1,1,0.694570687471995,0,0.426298445926163,0.391612781410118,0.694570687471995,"laplace_gumbel"
300,"t","gaussian",0,1,7.0532204599372,6.79465995915986,3.24331022892648,3.19901835167129,0.258560500777344,"t_gaussian"
300,"t","gaussian",0.5,1,6.99815578706846,6.90998345301078,7.19743766810168,8.9057969725067,0.0881723340576839,"t_gaussian"
300,"t","gaussian",1,1,1.45659893587865,0,1.05550774608412,0,1.45659893587865,"t_gaussian"
300,"t","gumbel",0,1,6.25751185222455,5.99813855567098,2.43152367305466,2.42710139191299,0.259373296553573,"t_gumbel"
300,"t","gumbel",0.5,1,5.45988154601822,4.67105036216851,2.42469449859491,2.2863004727018,0.788831183849704,"t_gumbel"
300,"t","gumbel",1,1,0.975826323103163,0,0.920290336240019,NA,0.975826323103163,"t_gumbel"
500,"chisq","gaussian",0,1,13.0450253046385,12.7106362786311,1.4700895001289,1.53498422985671,0.334389026007344,"chisq_gaussian"
500,"chisq","gaussian",0.5,1,10.2363088587301,9.70190238519509,1.29675076743065,1.37658869846405,0.534406473535004,"chisq_gaussian"
500,"chisq","gaussian",1,1,1.35319674730462,0,1.38532618233852,3.08190815046337,1.35319674730462,"chisq_gaussian"
500,"chisq","gumbel",0,1,12.8367381700473,12.459028550834,1.42247556192353,1.4106633896554,0.377709619213267,"chisq_gumbel"
